query_id,answer
BHqkB8hyVBLYjeJk,ad86467ee810f2d2 ea4b62cd245b9a77 a56fd64b3ff5130f 9bbba29b77e9b1af 8834dddb19f784d8 e1b4eba97b8c5240 8d41bcd6245bfc44 203bd20bd909376d 611804dbb9c68a4c f4310a574a8537ff 8bf24933a8ea1d1d 33880aa1be10ede4 e4f51e0805d52bdc 9d0d9e73fb885f2d f6cafc65bc477089 fa8f3e2db701c980 0c067e5bd5bc2710 6eb4a74791507649 a588f6a8c3cf7bb9 295f73ab7eb6cfd1 52f65d310d04442c c556aac51d48fc74 e23e327b22211b7a 77591840de7e9360 5292da6569706efe 04a433604469adc8 a90eac5917526597 cf95bf393cddc29e 4524365f48ebcf8d a5f683039464cdbf 8fa1b162386bd172 dcda6d4244477f5c f7bd6c612e4dbe56 86ed21b72a45fe76 02041ecc093b5437 c560fce1e1ff9623 65ebc71554572353 e7ca5f3fe4c7223d edb71c4a334651b4 6e28821e5a681b5a 589c0d7a4e77f03a 4394d0895f5a41ec ab991544f40f5bff b4017e6e7d3fded8 da0941328a71286d 6ca646f31be2f88a baea4f783c8f0a9e 89e71a97f57aaafd bbdcb85e9def7e9e ef50c253de4b7247
dkPW1ez4OuJlKP6f,bd5db5a85cb5d137 bbf504a6b1a049c6 3273767a2bb49d6b ab5b5ba8f1cb89be 6584cfa935839cf4 ce7523dfe05215a7 a234a719880fd744 08c03e3b1f19b3aa 2031c678ebb45ba0 b39e5854ab83559d 8e8af64394503d23 1fbd8eabfdbd4e18 24dcada9402c5760 289fdf9932be6318 4ded79793f35192e 90ca0ea2a53ee04d a8d8a9fd35ab86f4 d7eed8775adc0ba0 9bdfdcd2af8563de 829de623e3057ff4 0379f593b36a1dd8 a4ed2031fd29e18a dcb69941ee189cfa 7afa7486462f252c d358644b7d4cc307 297d7a16bcc23db9 c6a2cca92ccebbed c59d6a728daa8d08 115a4ff12a55af75 cd22f02d9b107f02 79e0a78b97d03019 6653907c8b6f7c72 01346d7ab677a006 18e40dcee35f8a19 806d23a4615e5841 16895be7ba379e48 d16c6aad87b0dd06 4bbb6cf166d6242d 83b57f6e2fbe6cf0 a8fa48f1640cb031 530b319de7efdbec 0239f8a55c21711f d6991d90ab33d1d4 38c5b2e1ad821947 2c6b5285b7190531 12594babb482517c eee1a3ccabea8e5d f5a84b4ef603a5f4 2dbb67933540e667 a762aba1c70e5af9
QcN46alMOqpAE50I,f9075c5549063c63 fae41dd969a99050 d3580e4f758a08a1 7b8e2acd7edb4ddc eba2cc8c8ecef336 a85baed12dcffac7 8d9c6c04212bf64b 1e33b48ebfd2fc24 b9144f0619e1ae69 9e999755929baf38 0d1acb8159c9bae8 647754b1f68e08d5 e3ac4995f4cd476a b308d47410a46636 610bdd79153340d1 12a2f6af38d3966b cf8b881b52188f2b 840845c4fe9ba442 26388583fe42b87f eda2c60a89e63b56 f032343ce917a26f a6fa0c2925fd4270 d3b3f80e584bfe0c 14ebba70f442932c f5c0b6e975629ea7 54f9fd5755051f69 10339996143c51c6 89d5e4a102328b0a cfd1607c20a6042d 9591c3a5933d9004 c207062ef3be9dba 1f8ea6168f1bddb3 ddd76295790c84cb 4a8fe1c2426e9eab 522883edf050c18f d72fa9ba9554dded 8a1fa17860c15448 d73aed04c5336798 3cb67591cbd8ec55 c9160edbbb3ca1f9 ee6a87be5b2b27dc d1ad16ff4131e6c1 d02230fe7148d272 55964971af6b449d 47d69610997d4822 fdfd5f15003a8422 693ef6cd6ed5ec8e 866e751cc97167ba f50deb4948d01e4a dc63051927b33263
Q4BzK1C2QbMpWats,841b9ab0f8027e7a 20e2792b14789745 5c42e75509da8ef4 671ec869f80e7688 453636b090c3d49d 67c769c0188cee26 7cc855258cf6ed7e 97dc61e01a914a8e ce6223ec03da1d47 167627f1ca07c2f6 a0c0ef62c80c3510 c606ee82ee3aea6d 7d85212d723de304 67c7c49bfaab55f5 811ef25ecf305ae1 08c8ec546c71428a efb884a729e258b4 c913a66658074d96 93b8d7b11253295e d7dee04803e8d990 c302a84c719de657 4acd13afc12253bd 0471c8f2cd3fe2f3 4259621e37e70776 9be59b6411cf11cc ff2e69fbdcc41915 7371e8390457dd94 59576423fe00e3b2 56533898833f7c7f 9ccdaa533a349c96 1679ce51048fd777 b0d4d9cb0a1c96cd 95c5bd6846ba1667 7b7cf1a0d94a0bd7 09d68fe87040bd5d d5d889a37773c9e5 d264956dc7321e3b 84652032a2040d61 7672d44f8e047473 4acb33166aefd7db 935a7a8c18a23101 7990bc152af41e23 18c23a7db5258269 64200016fb208432 9cfa00b18c58f469 7190fdbcdcc5dbe5 92bc52f8a4737d9b fdafca8b9e0bbca3 24ed66de0bf5dc6f 5dc47a12fca71d6c
94UtW5eRuV3rcDEO,3c20d09240795139 72400063523b73ef 89ce608eb7222ea7 524274c2d227d660 0bc88004234a9cb7 4729f8de96814711 bf121ca8e63ea494 61dcb2a462e54b70 cdd9f749958d3f82 035a00c2e4b35638 6a6e82769b7332e7 ab18ad965eb4d116 534bcf271df0cce8 10397e233d5c55e3 1fe50f3cb59c1b4a ad5139fd78a41fe1 414d5d20f42c1c6e 6fabf64c0905fc3a c7867980b064e6c6 87b0226c0ff19b34 454cd854cf16f9d7 84a424b4414ed0e1 67aaae3e111c0976 6a043732072918dc 1ac8500f7b56b63a 304706946e182505 e8c8455d23f681b5 b432dd20d7370b83 60a4ec4ec8eedcc4 af66bc37c1eb21b8 a8b0ce6a110be36a dc7c5a6e928b1e1c 004a3a19d960d87d 81be230dd06e8862 e6b388ae684d5a72 47f05669fa8becae 8b862c8f0998eb01 fc1db7b860dc7529 2b4ff456455572a4 87c690d45a25f35b 991ca07f96e0117d cfa642f8e82ae713 34d60400605d36fd 9874707b293a0589 1f3133f5bbe99e4b 8d43e2e72921f694 59b42044479905ca 63aeb01759ec02c6 57edb32ebbf3af34 98d8498571f09c18
6dYxIAlZOriT6SHH,8d8024054828e9be 974542c247cafa42 b5e26b462b1aef93 9ee2b11a31a70cf5 d2b9491fc7a439cc a4fb1fc05743e013 3dca7ae07ecdb386 65c405ebfb147129 0af686fb84b9b92f 8218df0a3a3748b8 2aed19e73962d863 90b3f8b06894c1b6 a50929967895f818 c90b018b9116a632 3ebc91772eb7caec 3b6cc5a10478e0ec c3e4df719264dbd2 1fa69b6f17a9ba86 e2a5b929bae99d57 3b02cb88064659b6 d6821230bf8e803e 3fa72149973e0306 1ad58901bda06b1a 71f6dd9ef79f1941 b0b86882f0584d34 9ab921666b0a4f2d 963d1f53046197f3 0817e2dcd04513db 33bbaad367e21213 1d6a2024b586aa8d f9812e273bac19c5 3411d645092efefe 1d8b9ac4c22c8b91 6be51ecb5440c171 421cdf966421ab9c e9e1e3c16e984182 abffb6d2b1db555c 2d042301bb964c86 2ddce05841f87c63 3edf9ee666855377 6c5f82fd25c2e547 521a8066ad69c38e b2cc1ae244c6b85f 9e220e973eb16cea 0aa408bf159edd4f 5afb45fcb4031353 2598a491ad7b5615 fd66068dd6ea25e9 040538f9a0254a99 91c8b22a0031fad9
moFmX6XQY5SEz9hU,e15ec8d2e5920abd df54b3f7497d69ed 8cb482057f19610a e2613b0dab30d6f3 2ac8f3a653a3eaf5 9879311b1681e073 1e71d883c20c90c2 bf66c5bde034e509 d0e4967dfe1101db 445eec11e8ccda32 20277fdaf89ff58f cfcecefd6ef84b55 1c7fb1eb5fa9f23f f5de2ec16f211a23 6d9043d370b9256b 63229d195b66275b f82a20b60a8188cf ff8c83488b07936e c38eaca8f33609a0 835e72268639dd09 f338dc60ed5fa61b 25efb9aae200ea73 430bef5508127742 1f6304600d5c0a9a 1e24a2caf7db8d2f 94e5c58453da58bd 84653afed4262adb ca4f1545aae9664c dbb782dde1c41800 47cae3e69c339f1a 8b28ecd85f97c622 ea678b8d36451645 920f37ddeba21964 ddf05bb3413be9ac aa2fe68ebc7f17ce 5a77d476d355ef99 65585282428f964e c36574e886c6ae7a 7ba7bc9062fcd6f0 beaa3cdf9e479a53 90cf903e3812ad28 8e7b4a439bada54c 5f0af11c55c93f37 f5e19787cf7437ac bc92dd4b6375b990 e239892c841076a4 496250c292cccfa5 039da587d36802ed a1b0e723ace71534 8942532f249e1d54
R66chaldEN0epFjt,99504a447db7c9e4 0fc323ba42b4e297 5645052abdec64ee bdfce93504afe108 2e3ea7cf3cac3fef ed7535b081298136 58c60077ba4e94e9 fad350ff33deeca7 69fcee637df221af d85ac15a3fb338cd c24ce13d01895854 7affd05a2c12258b 4d8de295c89f1532 706aef11c086f2cc b65b43e4addfb8a1 2bd33044d79aa561 45c28fd6260b744b bb33e6c78f0ce27f d7c119f222db17c3 03f146fca0626a82 f948dc0d64569efd bd3c20af6671ec49 2c284338283cd0b2 1c383865e2b1f142 006b9e0de279c1bc 7fe3401678eee538 c6f6d13ccf5e1527 c7c36cce492b4cc1 100a93105d2db32b 2712af160c36ee0f 6f6c36575d8e3a5e 6da8b9794b4ebd42 2c2edf13acd00aec d0b324933fe0b56d 4068ab9db47a18c9 4ed60a213448e787 449c05b19a9b84f5 068eb5c72e6f57ea de698aaed82b026f 5cf8a7a33e21233d d138402d61cb886c e175a70897c87e83 1b9decf0b7126edf 7b3382dc38e49fcb 45aba025623f4817 b50670570ac8e4e2 940145809f2688de 64114898e42c2611 43666c7a06ba8190 2cafcd34aaa3fe04
LeWIzjoTRN8saOxg,3086070c012c8e23 0b7c0b04d3858dae adcdff6300cac5e8 b495056ef40d11d9 0fbe3bf393bd7462 d400282b720cc795 6a1402ef66bbdd4d 21d795ce5d12a1a7 b02d4ff96e1d8eac 5ca4d12a7066a061 74d109ec13995ce9 a97a60e0b0c7371c 59ad84f75ee98b4c 236cfc946d46f64b c9ec99ffcef43ebb 8e7e64c30f92b48b bd2296ed4cea9659 e5bd0eef9b7217a3 0904dcce0360d5b6 4c4a9f35845839ad c0dfe8e3e9c7d31d 306a6fcc24b3c9bf b351b2435b10dde2 ff62e9f24bca34c4 0aa4988f7527044f c288d0798a4b5a66 dc5e6c841fe80b8f a4c4f780d720ea71 ce412ba63a3567e1 74012473ecb6f929 6edf6b69fecf5fb6 6129b43b7272730a f838a0b7f0e285ad 3817da59d8a460f0 9ec1e2f55fd9e653 db380030381b69ae 35fe26d7ff039862 ca8a71860b6dc037 3aa0648373cadc9a 3c47580490bd2bed 7f97fd7c949af768 c06a4a823f8dcd23 40c39f40ad41d4b1 665ffe66814437e3 7f5f3acf27a0b9d4 ce8aab5622babae1 5a3430dff56448ba 0fdacb5f72a4b0e3 6557cc5d11d0fbf7 aa2135b160e861d9
YeC06bC3Bws9SfaN,15d6c65ea742a8ff 2077e588b04a1f3e eafb0d921301d2fb 9f0991316bd710b5 27d6424908ffbd80 1be7ea3abede7e51 44c3a0c85aafb858 075f0e435e410bb6 73ec7717c33a0bc8 731d59964ef422c9 0d14050b90c7539f c693679ec1d0ffb5 cf76823d50532023 6c631488ea544c7b 036e1bb4542de152 e95f452bb6921b0c c0da89b71d346050 516023a085a94273 c373c7f8eac0e77e fe8e329cb658167d b44b598ecdab3f68 14a3b9b4681a434e a99f259b9c43c36e 73da23eb53c33360 2525ca99d43fe87d 30e7e1e25f454abd 071681d16233dfe2 1c7ccbd19672e50f 5bbf6ad52f51869f 36a2c825d08dc29a 33e603bb72cd311c 73aae6983e19a09c d8b17e572ca0d51e 10f0eb0d5af774b2 b19568a307211778 36063905268a4cc0 011f251f80bb7b8d b3ac4d7cbb1ba1db 1fea6d0ee3b38f32 c518220aeab7ac77 82e35089f3d81710 d71db9f4415ec353 0a721f2dd038a872 26eb7ca94e413c0e 6ada5baa3c982968 a9d361bb35ef18db 1233bbfc69d0f172 d7ae79dcc88246b7 cef0f039bd5bae71 c6158aeb65364c32
Mkw7pexvDmMpFdzO,1c1d824f508ccdc1 57ff6765aa00ff0b 13b1de1fc963fb02 8b3412a07a2756bb 6b616bde25aca76f 0f5e95d753ae54a6 be4bf17267e8526e 0c3e18e57697d890 f3bd37249ac96c66 60f14f2b2c181d04 93f6be36d0c4229e 1e45a1f475156ae8 0bfba26f282c92cc 62aef4377999774b 9e23e621ce478542 1e84173a106ad3f9 d691da430beedeb7 7e803dc4fda821cf 1657df9621abb0c2 8be0de4a506a4abf 74dc5fd4bcc234d5 1dfac3220e265c28 f2d0a35333fe0d2a cce0db4a4652ea72 4fd8f2e7841bcfb3 ebd268510c8ccfc5 68325bb5388f1d23 ac053dfd5905f45b aa8f6e12e7a8a242 34c6be0d59d9c79c c6eeecf067c19fad d2b9033dcd70a24b 97a4bc693068e7dc f529830ef1ed3538 54f4b4f894fec8c6 ec5e279ee7d62823 adfdb538d1b6b03a bf893542aa9943db 3b1ccea085d1eff0 5d466e311ded5ecd 4fc6fe632675aacf 2d9e1476363502d8 8e60f0694d7eb96f 2f6d35e4d0253d51 5e0e392d1d476c38 8d23fff7455fd971 89adcffedeaaa8e4 08e6cea19e36ef37 995bcab60656ab71 54efee3490a1162f
M1yUaCX37j5UCE6M,8fa7b4c1988a2c6e fe8113c31dd663d5 55f8ece9056e50f8 051d2861e217e7c4 93e68cf7ffbfef7d 1417f9615d7d4209 0fbba4484e5590fb 69b23aa6257b66ea 801065f01ec7471d c95b0e54afa46cf1 9c54bb56f1427778 6325fff44326fafb f1851cf6327922db 5508ebe97dec3a2f 2543cfa43fa54f0a 3a70bcb3086fd54b a9438720215cf72b 7127da7f3cdc1aec 2340858f580b8f2b 4e431c9ab03fee8e 4711aadf17749757 1b63c0257f6bbffb e586f6befda610ef ef72179daa448367 bf6d32e9cac2986f 35b0ae8da97bbbbb d348ac923558188e 10b283285b9899da ecc0c384cfc32e9c 97d6900d40921891 d9b0c3036c6211c0 e01d72c130019980 174ae15d0d98ab0e d3afc8bbda96499f f838152517273eb2 b96cce5ffd126cca 389f4de9af2f7e5a 60886147bdb384b6 4d9ace392c717640 0a48ff8e6323a0e1 7ee7332ac6da9e7d 40cca5c5e5e557d8 3225efae452bd822 fc384d140cf0de2b f45ad699d010014b f703050fa55ee85b 7d1dc351bc43b490 588d28abea3ee2fb 28c69bb2bc63e2b3 3cfabc0b75472e0c
qICpl1nghlMbD1sQ,f86a9d1243df3b56 e8b75e53d19a2185 a5526b66afbaff6a e69c0e48e6d6663a 1d9cf7f8484882bf 6fbc07917bbdaab5 6879876d12974c1c 477469f3115b08d6 36ca8b412025a827 638df4ff333c78ba 90d6328d5c4dea0a 3abe26891ca22be7 f5ae6ba3a7c969f8 82edabfb3f0ee638 5d9271379d848806 e3d8b8ea9c3a2a72 ae43fb3eb66c4bee 25c4aa4d9da2c3ab 6a9b6c5dac7f8681 e0c00651ceadf30a 7cedf862500f864a 6ff991315ab63238 99a31d9e5bd6eda8 2242be2646a27e02 bdd1d6d77b68d2e7 d47993d04b026aee 01a3b5a401f6ef29 66f2cffe01ccce65 d8ec688d0aaedf25 b1798c0f3792fde6 250c9e60b5453720 3ad11bbac9368352 b84cc760284b8294 4ec240edc4bca25f 3cde410536706859 fabda12531973707 e31964dd745a581d 8bf45e3f2a30eb0a c067131949d2ef56 3454ce49e1bfb53b b166d7cada72292a f2585d74397aaed2 13042035f041ca90 5cf0110416131ae7 b2a1939e27688783 f6d1b59d9acb225e fe74931c81a80ed8 44eb704e9ca6661e 88e608289b1c3e3d 00e3f355d4bc0e5d
